#SRX13410558 leaves:SRX13410559 leaves
0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0
15	6466	5396	1951	2170	866	866	1713	1920
16	39739	15195	7372	2832	2854	2854	5240	2617
17	206918	74109	22708	5969	7251	7251	17269	5769
18	570372	375774	41289	23414	13856	13856	36979	22332
19	679372	553278	52288	40000	17318	17318	48194	37980
20	856637	622506	68658	46049	18695	18695	63369	44084
21	1540628	1079039	137906	91430	31283	31283	127111	87343
22	693402	517469	157733	112481	32983	32983	145933	107196
23	618364	496488	258792	197960	63865	63865	233635	184094
24	989266	846629	580689	469154	200196	200196	508083	424119
25	288661	250524	31549	25997	11910	11910	29098	24692
26	133150	114608	11820	8785	7302	7302	10181	8079
27	10295	8975	2957	1771	1387	1387	2448	1575
28	76	105	152	99	37	37	139	90
29	0	0	22	9	0	0	22	8
30	0	0	1	4	0	0	1	4
31	0	0	3	3	0	0	3	3
32	0	0	3	4	0	0	2	4
33	37	10	1	0	1	1	1	0
34	0	0	1	2	0	0	1	2
35	0	0	3	1	0	0	2	1
36	0	0	1	0	0	0	1	0
37	0	0	0	0	0	0	0	0
38	0	0	0	0	0	0	0	0
39	0	0	1	1	0	0	1	1
#SRX13410558 leaves:SRX13410560 leaves
0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0
15	6600	8926	1817	2735	973	973	1606	2382
16	41177	26885	5934	4237	3398	3398	4696	3790
17	210528	119795	19098	9281	8425	8425	16095	8769
18	571416	430419	40245	26507	14352	14352	36483	25103
19	679684	553549	51976	41861	17411	17411	48101	39688
20	856878	651189	68417	48114	18823	18823	63241	45986
21	1542359	1222263	136175	102926	32671	32671	125723	97489
22	696242	527885	154893	130574	35030	35030	143886	123102
23	627048	531201	250108	235278	69807	69807	227693	215549
24	1023803	1012210	546152	590404	223295	223295	484984	519529
